C97C  38                  A:FF X:00 Y:00 SR:27 SP:FB CYC:626
C97D  B8                  A:FF X:00 Y:00 SR:27 SP:FB CYC:628
C97E  A9 7F               A:FF X:00 Y:00 SR:27 SP:FB CYC:630
C980  69 80               A:7F X:00 Y:00 SR:25 SP:FB CYC:632
C982  D0 09               A:00 X:00 Y:00 SR:27 SP:FB CYC:634
C984  30 07               A:00 X:00 Y:00 SR:27 SP:FB CYC:636
C986  70 05               A:00 X:00 Y:00 SR:27 SP:FB CYC:638
C988  90 03               A:00 X:00 Y:00 SR:27 SP:FB CYC:640
C98A  4C 91 C9            A:00 X:00 Y:00 SR:27 SP:FB CYC:642
C991  EA                  A:00 X:00 Y:00 SR:27 SP:FB CYC:645
C992  38                  A:00 X:00 Y:00 SR:27 SP:FB CYC:647
C993  B8                  A:00 X:00 Y:00 SR:27 SP:FB CYC:649
C994  A9 9F               A:00 X:00 Y:00 SR:27 SP:FB CYC:651
C996  F0 09               A:9F X:00 Y:00 SR:A5 SP:FB CYC:653
C998  10 07               A:9F X:00 Y:00 SR:A5 SP:FB CYC:655
C99A  70 05               A:9F X:00 Y:00 SR:A5 SP:FB CYC:657
C99C  90 03               A:9F X:00 Y:00 SR:A5 SP:FB CYC:659
C99E  4C A5 C9            A:9F X:00 Y:00 SR:A5 SP:FB CYC:661
C9A5  EA                  A:9F X:00 Y:00 SR:A5 SP:FB CYC:664
C9A6  18                  A:9F X:00 Y:00 SR:A5 SP:FB CYC:666
C9A7  24 01               A:9F X:00 Y:00 SR:A4 SP:FB CYC:668
C9A9  A9 00               A:9F X:00 Y:00 SR:E4 SP:FB CYC:671
C9AB  D0 09               A:00 X:00 Y:00 SR:66 SP:FB CYC:673
C9AD  30 07               A:00 X:00 Y:00 SR:66 SP:FB CYC:675
C9AF  50 05               A:00 X:00 Y:00 SR:66 SP:FB CYC:677
C9B1  B0 03               A:00 X:00 Y:00 SR:66 SP:FB CYC:679
C9B3  4C BA C9            A:00 X:00 Y:00 SR:66 SP:FB CYC:681
C9BA  EA                  A:00 X:00 Y:00 SR:66 SP:FB CYC:684
C9BB  24 01               A:00 X:00 Y:00 SR:66 SP:FB CYC:686
C9BD  A9 40               A:00 X:00 Y:00 SR:E6 SP:FB CYC:689
C9BF  C9 40               A:40 X:00 Y:00 SR:64 SP:FB CYC:691
C9C1  30 09               A:40 X:00 Y:00 SR:67 SP:FB CYC:693
C9C3  90 07               A:40 X:00 Y:00 SR:67 SP:FB CYC:695
C9C5  D0 05               A:40 X:00 Y:00 SR:67 SP:FB CYC:697
C9C7  50 03               A:40 X:00 Y:00 SR:67 SP:FB CYC:699
C9C9  4C D0 C9            A:40 X:00 Y:00 SR:67 SP:FB CYC:701
